# tijd (s), versnelling (m/s^2)
1.090454355981659074e+00,5.662395399645860083e-02
1.095456440183409708e+00,5.757897295757145179e-02
1.100458524385160564e+00,5.854686277271741596e-02
1.105460608586911198e+00,5.952768773203617053e-02
1.110462692788661832e+00,6.052150860827335693e-02
1.115464776990412687e+00,6.152838252401618413e-02
1.120466861192163321e+00,6.254836281836960443e-02
1.125468945393914177e+00,6.358149891323817970e-02
1.130471029595664811e+00,6.462783617938516745e-02
1.135473113797415667e+00,6.568741580244998046e-02
1.140475197999166301e+00,6.676027464911020448e-02
1.145477282200916935e+00,6.784644513358378815e-02
1.150479366402667791e+00,6.894595508467270262e-02
1.155481450604418425e+00,7.005882761355673727e-02
1.160483534806169281e+00,7.118508098255386940e-02
1.165485619007919915e+00,7.232472847506792035e-02
1.170487703209670771e+00,7.347777826695353620e-02
1.175489787411421405e+00,7.464423329953114028e-02
1.180491871613172039e+00,7.582409115449369186e-02
1.185493955814922895e+00,7.701734393094882003e-02
1.190496040016673529e+00,7.822397812484765955e-02
1.195498124218424385e+00,7.944397451105500441e-02
1.200500208420175019e+00,8.067730802831840631e-02
1.205502292621925875e+00,8.192394766739996559e-02
1.210504376823676509e+00,8.318385636263390948e-02
1.215506461025427143e+00,8.445699088717946446e-02
1.220508545227177999e+00,8.574330175223669748e-02
1.225510629428928633e+00,8.704273311049602613e-02
1.230512713630679489e+00,8.835522266409351344e-02
1.235514797832430123e+00,8.968070157734044090e-02
1.240516882034180979e+00,9.101909439449905326e-02
1.245518966235931613e+00,9.237031896287095645e-02
1.250521050437682247e+00,9.373428636146488580e-02
1.255523134639433103e+00,9.511090083550582941e-02
1.260525218841183737e+00,9.650005973704321727e-02
1.265527303042934593e+00,9.790165347191345790e-02
1.270529387244685227e+00,9.931556545330212649e-02
1.275531471446436083e+00,1.007416720621493456e-01
1.280533555648186717e+00,1.021798426146300343e-01
1.285535639849937350e+00,1.036299393369361360e-01
1.290537724051688206e+00,1.050918173475754447e-01
1.295539808253438840e+00,1.065653246473940302e-01
1.300541892455189696e+00,1.080503021175175382e-01
1.305543976656940330e+00,1.095465835253932041e-01
1.310546060858691186e+00,1.110539955391055128e-01
1.315548145060441820e+00,1.125723577501199779e-01
1.320550229262192454e+00,1.141014827046000490e-01
1.325552313463943310e+00,1.156411759434233105e-01
1.330554397665693944e+00,1.171912360510091455e-01
1.335556481867444800e+00,1.187514547130537057e-01
1.340558566069195434e+00,1.203216167832486388e-01
1.345560650270946290e+00,1.219015003590450952e-01
1.350562734472696924e+00,1.234908768665027162e-01
1.355564818674447558e+00,1.250895111542475735e-01
1.360566902876198414e+00,1.266971615965402365e-01
1.365568987077949048e+00,1.283135802054371777e-01
1.370571071279699904e+00,1.299385127520082672e-01
1.375573155481450538e+00,1.315716988965503209e-01
1.380575239683201394e+00,1.332128723277189175e-01
1.385577323884952028e+00,1.348617609104758031e-01
1.390579408086702662e+00,1.365180868427317007e-01
1.395581492288453518e+00,1.381815668205394754e-01
1.400583576490204152e+00,1.398519122116738123e-01
1.405585660691955008e+00,1.415288292374117518e-01
1.410587744893705642e+00,1.432120191623059147e-01
1.415589829095456498e+00,1.449011784917247359e-01
1.420591913297207132e+00,1.465959991769095194e-01
1.425593997498957766e+00,1.482961688272825262e-01
1.430596081700708622e+00,1.500013709297172149e-01
1.435598165902459256e+00,1.517112850744650465e-01
1.440600250104210112e+00,1.534255871874149746e-01
1.445602334305960746e+00,1.551439497683426427e-01
1.450604418507711602e+00,1.568660421347928269e-01
1.455606502709462236e+00,1.585915306712183392e-01
1.460608586911212869e+00,1.603200790829896749e-01
1.465610671112963725e+00,1.620513486548699478e-01
1.470612755314714359e+00,1.637849985135410302e-01
1.475614839516465215e+00,1.655206858937545156e-01
1.480616923718215849e+00,1.672580664076682155e-01
1.485619007919966705e+00,1.689967943169242703e-01
1.490621092121717339e+00,1.707365228070113761e-01
1.495623176323467973e+00,1.724769042634530236e-01
1.500625260525218829e+00,1.742175905493532628e-01
1.505627344726969463e+00,1.759582332838297014e-01
1.510629428928720319e+00,1.776984841208630594e-01
1.515631513130470953e+00,1.794379950280853286e-01
1.520633597332221809e+00,1.811764185650365788e-01
1.525635681533972443e+00,1.829134081604146256e-01
1.530637765735723077e+00,1.846486183878503218e-01
1.535639849937473933e+00,1.863817052397422624e-01
